RestaurantName,URL,REWARDS_PROGRAM_FEATURE,Rewards,Rewards Signup,TOAST_GIFT_CARDS_FEATURE,Gift Cards,Find Card,ONLINE_ORDERING_FEATURE,Online Order
Astro Doughnuts & Fried Chicken,http://astrodoughnuts.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Fat Pants Brewing Company,http://www.fatpantsbrewing.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/fatpantsbrewing/giftcards,,ONLINE_ORDERING,
The Slinger House Pub & Grille,http://www.theslingerhouse.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Barking Mad,https://barkingmadcafe.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Acorn Cafe,https://www.acornnola.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Panther Pizza,http://www.milfordpantherpizza.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/panther-pizza/v2/online-order#!/
All About The Burgers,https://allabouttheburgers.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Smith's Downtown,http://www.SmithsDT.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/smiths-downtown/v2/online-order#!/
Tacos N Miches,http://www.tacosnmiches.com,REWARDS_PROGRAM,FAILED TO GET,FAILED TO GET,TOAST_GIFT_CARDS,FAILED TO GET,FAILED TO GET,,FAILED TO GET
Twenty-Nine Rustic Mediterranean,http://www.rustic29.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/twenty-nine-rustic-mediterranean/giftcards,,ONLINE_ORDERING,
Barrio 75,http://barrio75.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Port Edward Restaurant,https://www.portedward.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
MATTER,https://www.matterbar.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Colorado Taproom & Grill,http://50Taps.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Watertown Brewing Company,http://www.watertownbrewing.com/,,,,,,,,
Slappy Cakes,http://www.slappycakes.com,,,,TOAST_GIFT_CARDS,,,,
Square Roots,http://www.squarerootscp.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/square-roots/giftcards,,ONLINE_ORDERING,
Blue Ruin,http://www.blueruinbar.com,,,,TOAST_GIFT_CARDS,,,,
Revival Hall Taproom,http://www.revivalhall.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Prime Time Pub and Grill,https://www.primetimenewburgh.com,REWARDS_PROGRAM,https://www.toasttab.com/prime-time-pub-and-grill/rewards,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/prime-time-pub-and-grill/v2/online-order#!/
Micho,http://www.micho_chs.com,,,,,,,ONLINE_ORDERING,
Marigold Cafe,http://www.marigoldabq.com,,,,TOAST_GIFT_CARDS,,,,
Maizal Mexican Kitchen,https://www.maizalmexicankitchen.com/,,,,TOAST_GIFT_CARDS,,,,
House of Commons,http://www.houseofcommonstea.com/,,,,,,,,
CEVICHE PROJECT,http://www.cevicheproject.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/Ceviche-Project/giftcards,,,
YoYo Juice,http://www.yoyojuice.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/locations/0e50a853-dccf-4d55-985c-e0db0d21d560#!/
108 Sports Lounge,http://www.108sportslounge.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Burger Village,http://www.burgervillage.com,REWARDS_PROGRAM,https://www.toasttab.com/burger-village-hicksville/rewards,https://www.toasttab.com/burger-village-hicksville/rewardsSignup,TOAST_GIFT_CARDS,,,,
Bamboo - Modern Asian Seafood,http://www.bambooseafood.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
The REC Pizzeria,http://www.therecpizzeria.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Bacco Trattoria & Mozzarella Bar,https://www.BaccoBoulder.com,,,,,,,ONLINE_ORDERING,
Bite Food & Coffee Co.,http://www.bitefoodcoffee.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
Double Zero,http://www.doublezerovenice.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Kitchen Of the World,http://www.kowrestaurant.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/kow-comfort-restaurant/v2/online-order#!/
Double D's Sourdough Pizzeria & Tap House,https://doubledspizza.com/,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/double-d-s-sourdough-pizzeria-tap-house/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/double-d-s-sourdough-pizzeria-tap-house/v2/online-order#!/
Nucleus Raw Foods,https://www.nucleusrawfoods.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/locations/6f7fd32c-da87-44a6-aee3-89241fbf0530#!
J.J. Grimsby & Co. Restaurant,http://www.jjgrimsbys.com,REWARDS_PROGRAM,,https://www.toasttab.com/j-j-grimsby-co-restaurant/rewardsSignup,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Buffalo Chip Saloon & Steakhouse,http://www.buffalochipsaloon.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Metal Monkey Brewing,http://www.metalmonkeybrewing.com,,,,TOAST_GIFT_CARDS,,,,
KoKyu,http://www.kokyubbq.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
UKraft,https://www.ukrafteats.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Red Coach Inn,https://www.redcoach.com/restaurant/,,,,,,,,
Yalla Yallaa (Mediterranean Cuisine on the Go!),https://yallayallaa.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
BomBiscuit,http://www.bombiscuit.com,,,,,,,ONLINE_ORDERING,https://www.toasttab.com/bombiscuit/v2/online-order#!/order
Thai Spoon Las Vegas,https://thaispoonlasvegas.com,,,,,,,ONLINE_ORDERING,
Tacoa,http://www.tacoasac.com,,,,,,,ONLINE_ORDERING,
Vie,https://www.vierestaurant.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Anejo,http://anejonyc.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Soul Gastrolounge,http://www.soulgastrolounge.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/soul-gastrolounge/giftcards,,,
Compass Arena,http://www.compassarena.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Lavash Cafe,https://www.lavashcafe.com,REWARDS_PROGRAM,,https://www.toasttab.com/lavashcafe/rewardsSignup,TOAST_GIFT_CARDS,https://www.toasttab.com/lavashcafe/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/lavashcafe/v2/online-order
Rasoi,http://www.rasoirestaurant.com/rasoi,,,,,,,,
Dandy Lion,http://www.thedandylioncafe.com,,,,,,,,
Kieran's Kitchen,https://kieranskitchen.com/our-story,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Margaritas,https://margaritashawaii.com/,,FAILED TO GET,FAILED TO GET,TOAST_GIFT_CARDS,FAILED TO GET,FAILED TO GET,ONLINE_ORDERING,FAILED TO GET
Taqueria El Barrio,https://www.taqueriaelbarrio.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/taqueria-el-barrio/giftcards,,ONLINE_ORDERING,
Aziz Maredia’s Test Restaurant,http://www.fritabatidos.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
More Than Pasta,http://morethanpasta.com/,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,https://www.toasttab.com/more-than-pasta-105-s-northwest-hwy/v2/online-order#!/
The Green Bowl,http://www.thegreenbowlny.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/the-green-bowl/v2/online-order#!/
