RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Wayfare Tavern,https://wayfaretavern.com,,,https://www.toasttab.com/wayfare-tavern/giftcards,,
Pizza Roto,http://pizzaroto.com,,,,,
Pure Taqueria,https://www.puretaqueria.com,,,https://www.toasttab.com/pure-taqueria-alpharetta/giftcards,https://www.toasttab.com/pure-taqueria-alpharetta/findcard,https://www.toasttab.com/locations/4878dcb2-f88a-4e9c-aa13-e6d9068b9f99#!/
Maslow's,https://www.farestart.org/maslows,,,,,
Rod's Charbroiler,https://www.rodscharbroiler.com,,,,,
Ancora Coffee,http://www.ancoracafes.com/university-ave/,,,,,
Harolds Chicken,http://www.haroldschickenwindyhill.com,,,,,
Appalachian Tea,https://www.appalachiantea.com/,,,,,
Hannah's Bretzel,http://www.hannahsbretzel.com,,,,,
Slappy Cakes,http://www.slappycakes.com,,,,,
Rodney Corner Cafe,http://www.rodneycorner.com,,,,,
Terre Haute Brewing Co,http://www.terrehautebrewingcompany.com,,,,,
Olive Bistro,https://www.olivebistro.com/,,,,,https://www.toasttab.com/olive-bistro/v2/online-order#!/order
The Real Food Academy,https://therealfood.cafe/,,,,,https://www.toasttab.com/the-real-food-academy/v2/online-order#!/
National Mechanics,https://www.nationalmechanics.com/,,,https://www.toasttab.com/National-Mechanics/giftcards,,
Market Line,http://www.substancejuice.com,,,,,
Lakeview by Peppersmash,https://www.peppersmash.com,,,,,
The Original Pancake House,http://www.oph-mi.com,,,,,
Cinco 5 International,https://www.cinco5sb.com/,,,,,
Hat Rock Cafe,https://www.hatrockinn.com,,,,,
Lombardi Pizza Co.,https://www.lombardipizzaco.com,,,,,
Pancho's Vegan Tacos,http://www.vegantacos.net,,,,,https://www.toasttab.com/panchos-vegan-tacos-ft-apache/v2/online-order#!/
Cotton Kitchen,http://www.cottonkitchenutah.com,,,,,https://www.toasttab.com/cotton-kitchen/v2/online-order#!/
Travelers Table,http://www.travelerstable.com,,,https://www.toasttab.com/travelers-table/giftcards,,
Katie's Kitchen,http://www.katieskitchenonline.com,,,,,
Pulp Fiction,http://www.pulpfictionrva.com,,,,,https://www.toasttab.com/pulp-fiction-lakeside/v2/online-order#!/
Sofie's Whiskey and Wine,https://sofieslounge.com,,,,,
Eat Brgz,http://www.eatbrgz.com,,,,,
Fatty's Taphouse,https://fattystaphouse.com/,,,,,
CALA,https://www.calarestaurant.com/,,,https://www.toasttab.com/cala/giftcards,,
Togo's,http://togos.com,,,,,
Kiki,http://www.kikicincinnati.com,,,,,
Islamorada Fish Company,http://www.islamoradafishco.com,,,,,
Thai Spoon Las Vegas,https://thaispoonlasvegas.com,,,,,
Lucky Duck Pizza & Subs,http://www.luckyduckpizzas.com,,,,,https://www.toasttab.com/lucky-duck-pizza/v2/online-order#!/
Do Good,http://www.dogoodrm.com,,,,,
Thunderhead Pizza,http://www.thunderheadpizza.com,,,,,
BC Pizza of Traverse City,http://www.bc.pizza,,,,,
Ruby Juice,https://rubyjuicecheyenne.blogspot.com/?fbclid=IwAR3_xEIlPPXBDsOutio-2cOER4sHUkOZcltiBVc_IhkVRUFWNyvWT2vMwAk,,,,,
Orofino,http://www.orofinorestaurant.com,,,,,
Beacon Hill Chocolates,http://www.beaconhillchocolates.com,,,,,
