RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
S'MAC,http://www.eatsmac.com,,,https://www.toasttab.com/s-mac-east-village/giftcards,https://www.toasttab.com/s-mac-east-village/findcard,https://www.toasttab.com/s-mac-east-village/v2/online-order#!/
Whidbey Doughnuts,http://www.whidbeydoughnuts.com,https://www.toasttab.com/whidbey-doughnuts/rewards,https://www.toasttab.com/whidbey-doughnuts/rewardsSignup,,,https://www.toasttab.com/whidbey-doughnuts/v2/online-order#!/
Cubs Q,http://cubsq.com/,,,,,
Lucha Libre,http://www.luchalibretacoshop.com,,,,,https://www.toasttab.com/lucha-libre-gourmet-taco-shop-university-ave/v2/online-order#!/
Savin Bar + Kitchen,https://www.savinbarandkitchen.com,,,,,"{""imageData"":{""type"":""Image"",""id"":""dataItem-k69yzci6"",""metaData"":{""pageId"":""masterPage"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""title"":""order on toast take out.png"",""uri"":""9d160a_d7576947898640b9aa4a27db4aca2851~mv2.png"",""width"":109,""height"":72,""alt"":"""",""link"":{""type"":""ExternalLink"",""id"":""dataItem-k69z0w8w"",""metaData"":{""pageId"":""masterPage"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""url"":""https://www.toasttab.com/savin-bar-and-kitchen-dorchester-ma/v2/online-order#!/"",""target"":""_blank""},""displayMode"":""fill""},""containerId"":""comp-k69yzchc"",""displayMode"":""fill""}"
BuenoMalo,http://www.buenomalo.com,,,,,https://www.toasttab.com/buenomalo/v2/online-order#!/
Dos Toros,https://www.dostoros.com/,,,,,
The Diplomat,https://www.thediplomatmke.com/,,,https://www.toasttab.com/diplomat/giftcards,,
Costa Manhattan Beach,http://www.costa-mb.com,,,,,
Cinderlands Foederhouse,https://www.cinderlands.com,,,https://www.toasttab.com/cinderlands-beer-co/giftcards,,https://www.toasttab.com/cinderlands-warehouse/v2/online-order#!/
BBQ Chicken Buena Park,http://www.instagram.com/bbqchickenbp,,,,,
Dirty Water Restaurant & Bar,http://www.dirtywatersf.com,,,,,
Lu's Sandwiches,http://www.lussandwiches.com,,,,,
Northern Bell,http://www.northernbellny.com,,,,,
